3.207981859	1.1
3.645532879	1.1.167
4.789115646	1.1.833
5.169342403	2.1.167
6.016870748	2.1.833
6.263582766	3.1.167
6.800544217	3.1.833
7.050158730	4.1.167
7.517460317	4.1.833
7.757142857	5.1.167
8.362086167	5.1.833
8.634920634	6.1.167
9.401179138	6.1.833
9.505668934	7.1
9.659501133	7.1.167
10.550566893	8.1.167
11.221043083	8.1.833
11.430022675	9.1.167
12.039546485	9.1.833
12.245623582	10.1.167
12.869659863	10.1.833
13.092879818	11.1.167
13.865215419	12.1.167
14.524081632	13.1.167
15.029115646	13.1.833
15.299047619	14.1.167
15.992743764	14.1.833
16.233061224	15.1.167
16.930249433	15.1.833
17.130521541	16.1.167
17.644263038	16.1.833
17.926712018	17.1.167
18.366984126	17.1.833
18.604988662	18.1
19.075192743	18.1.8
19.313197278	19.1
19.768888888	19.1.8
20.027959183	20.1
20.593197278	20.1.8
20.883446712	21.1.167
21.397188208	21.1.5
21.699047619	21.1.833
21.934149659	22.1.167
22.265034013	22.1.5
22.546575963	22.1.833
22.793287981	23.1
23.147392290	23.1.4
23.460861678	23.1.8
23.748208616	24.1.167
24.067482993	24.1.333
24.247437641	24.1.5
24.566712018	24.1.833
24.842448979	25.1
24.996281179	25.1.2
25.495510204	25.1.6
25.629024943	25.1.8
25.843809523	26.1
26.421405895	26.1.6
26.546213151	26.1.8
26.792925170	27.1.167
27.245714285	27.1.5
27.399546485	27.1.667
27.515646258	27.1.833
27.776870748	28.1.167
28.537324263	28.1.833
28.784036281	29.1.167
29.100408163	28.1.5
29.502040816	28.1.833
29.788299319	30.1.167
29.962448979	30.1.333
30.148208616	30.1.5
30.502312925	30.1.833
30.855056689	31.1.167
31.285986394	31.1.5
31.750385487	31.1.833
32.165442176	32.1.167
32.693696145	32.1.5
33.050702947	32.1.667
33.471564625	32.1.833
34.162358276	33.1
34.731247165	33.1.167
35.204081632	33.1.333
35.722448979	33.1.5
36.265306122	33.1.667
36.959183673	33.1.833
38.072018140	34.1
42.184852607	35.1
