0.488004535	1.1
1.168004535	1.2
1.728004535	1.3
2.338004535	1.4
2.908004535	1.5
3.468004535	1.6
4.018004535	1.7
4.558004535	1.8
5.128004535	2.1
5.679591836	2.2
6.258004535	2.3
6.838004535	2.4
7.478004535	2.5
8.118276643	2.6
8.738004535	2.7
9.348004535	2.8
9.952653061	3.1
10.238548752	3.1ms293
10.808004535	3.2
11.368004535	3.3
11.928004535	3.4
12.558004535	3.5
13.244897959	3.6
13.758004535	3.7
14.368004535	3.8
15.252607709	4.1
16.007256235	4.2
16.561632653	4.3
17.088004535	4.4
17.668004535	4.5
18.338004535	4.6
18.921360544	4.7
19.478004535	4.8
20.198004535	5.1
20.709297052	5.2
21.248004535	5.3
21.878004535	5.4
22.421768707	5.4ms547
22.842857142	5.5
23.426031746	5.6
23.962993197	5.7
24.769886621	5.8
25.648004535	6.1
26.586848072	6.2
27.428571428	6.3
28.148004535	6.4
28.595374149	6.4.5
29.036553287	6.5
29.678004535	6.6
30.191746031	6.7
30.711292517	6.8
31.258004535	7.1
31.848004535	7.2
32.428004535	7.3
33.068004535	7.4
33.718004535	7.5
34.368004535	7.6
34.948004535	7.7
35.688004535	7.8
36.528004535	8.1
37.438004535	8.2
38.008004535	8.3
38.568004535	8.4
39.168004535	8.5
39.465215419	8.5ms295
40.097959183	8.6
40.618004535	8.7
41.228004535	8.8
42.068004535	9.1
42.800181405	9.2
43.308117913	9.3
43.911836734	9.4
44.408004535	9.5
45.118004535	9.6
45.641723356	9.7
46.198004535	9.8
46.908004535	10.1
47.478004535	10.2
47.948004535	10.3
48.584852607	10.4
49.140680272	10.4ms553
49.499138321	10.5
50.048004535	10.6
50.518004535	10.7
51.088004535	10.8
51.798004535	11.1
52.503219954	11.2
53.228004535	11.3
54.093786848	11.4
54.607528344	11.4.5
55.042902494	11.5
55.828004535	11.6
56.383854875	11.7
56.948004535	11.8
57.518004535	12.1
58.098004535	12.2
58.648004535	12.3
59.178004535	12.4
59.848004535	12.5
60.648004535	12.6
61.298004535	12.7
61.918004535	12.8
62.807074829	13.1
63.628004535	13.2
64.198004535	13.3
64.808004535	13.4
65.328004535	13.5
65.968004535	13.6
66.568004535	13.7
67.148004535	13.8
67.689070294	14.1
68.272471655	14.2
68.848004535	14.3
69.723718820	14.4
70.379682539	14.5
71.178004535	14.6
71.970249433	14.7
72.558004535	14.8
73.188004535	15.1
73.848004535	15.2
74.422857142	15.3
75.028004535	15.4
75.658004535	15.5
76.398004535	15.6
77.028004535	15.7
77.688004535	15.8
78.738866213	16.1
79.578004535	16.2
80.138004535	16.3
80.698004535	16.4
81.288004535	16.5
81.918004535	16.6
82.578004535	16.7
83.628004535	16.8
85.868004535	17.1
86.442857142	17.2
87.008163265	17.3
87.548004535	17.4
88.289523809	17.4ms542
88.772789115	17.5
89.261224489	17.6
89.763265306	17.7
90.218004535	17.8
91.128004535	18.1
91.848004535	18.2
92.868004535	18.3
93.708004535	18.4
94.196099773	18.4.5
94.678004535	18.5
95.358004535	18.6
95.908004535	18.7
96.690793650	18.8
97.278004535	19.1
97.928004535	19.2
98.598004535	19.3
99.498004535	19.4
100.151020408	19.5
100.628571428	19.6
101.155102040	19.7
101.673469387	19.8
102.217142857	20.1
102.804081632	20.2
103.342857142	20.3
103.906122448	20.4
104.620408163	20.4ms720
105.078004535	20.5
105.644897959	20.6
106.146938775	20.7
106.648004535	20.8
107.598004535	21.1
108.506848072	21.2
109.444353741	21.3
110.216326530	21.4
110.518276643	21.4.5
111.037823129	21.5
111.698004535	21.6
112.498004535	21.7
113.318367346	21.8
114.056417233	22.1
114.812244897	22.2
115.705034013	22.3
116.457142857	22.4
117.208004535	22.5
118.029931972	22.5ms820
118.653968253	22.5ms1445
119.157142857	22.5ms1950
119.479591836	22.5ms2894
119.830612244	22.5ms3249
120.877551020	22.6
121.730612244	22.7
122.568004535	22.8
122.895918367	23.1ms-1327
123.197959183	23.1ms-1031
123.491836734	23.1ms-731
123.820408163	23.1ms-400
124.224489795	23.1
124.934965986	23.2
125.579319727	23.3
126.246893424	23.4
126.885442176	23.5
127.483356009	23.6
128.075464852	23.7
128.684988662	23.8
129.358367346	24.1
